,questions
0,https://www.quora.com/Why-do-companies-so-often-ship-a-small-item-in-a-huge-cardboard-box
1,https://www.quora.com/Why-are-cons-upset-and-call-Amazon-Power-of-the-Rings-woke-because-it-uses-minorities-to-play-certain-characters-when-this-is-a-fantasy-world-with-Elves-Wizards-Dwarfs-dragons-etc
2,https://www.quora.com/What-is-so-controversial-about-Amazons-Good-Omens
3,https://www.quora.com/Who-do-you-trust-more-Elon-Musk-or-Jeff-Bezos
4,https://www.quora.com/Why-did-the-founders-of-Microsoft-Bill-Gates-and-Google-Larry-Page-and-Sergey-Brin-retire-from-their-own-companies-so-young-while-Jeff-Bezos-still-runs-Amazon-for-the-foreseeable-future
5,https://www.quora.com/Was-it-a-mistake-that-Jeff-Bezos-got-married
6,https://www.quora.com/How-do-you-feel-after-changing-from-working-in-Microsoft-to-Google-Amazon-Facebook-or-vice-versa
7,https://www.quora.com/Could-tech-giants-like-Google-Facebook-Amazon-Microsoft-Adobe-Oracle-etc-adopt-and-rebuild-one-of-the-poor-towns-in-the-US-into-the-new-Silicon-Valley-If-not-then-why-not-If-yes-then-how-could-they-do-it
8,https://www.quora.com/Is-being-an-Amazon-employee-as-bad-as-some-people-say-it-is
9,https://www.quora.com/Where-do-you-see-Google-Amazon-and-Microsoft-5-years-from-now-in-the-military-business-because-of-artificial-intelligence-projects
10,https://www.quora.com/What-programming-languages-are-used-at-Amazon
11,https://www.quora.com/What-will-happen-if-I-exclude-top-giants-like-Google-Amazon-Microsoft-Apple-and-Facebook-from-my-daily-life
12,https://www.quora.com/How-many-practice-problems-did-you-do-before-successfully-getting-a-job-at-Google-Facebook-Amazon-Microsoft
13,https://www.quora.com/Do-Google-Facebook-Amazon-and-Microsoft-employees-have-office-desk-phones-or-are-they-supplied-with-company-mobile-phones
14,https://www.quora.com/If-Jeff-Bezos-gave-you-a-billion-and-told-you-to-not-spend-a-penny-for-one-year-to-get-a-total-of-10-billion-would-you-listen
15,https://www.quora.com/What-does-Amazon-do-with-all-the-unsold-stuff
16,https://www.quora.com/What-are-the-best-decisions-Jeff-Bezos-has-ever-made-as-the-CEO-of-Amazon
17,https://www.quora.com/Which-of-the-Big-4-tech-firms-Amazon-Google-Microsoft-Apple-is-best-positioned-for-the-future
18,https://www.quora.com/What-is-the-controversy-surrounding-Amazon-New-York-and-tax-breaks
19,https://www.quora.com/Does-Jeff-Bezos-still-forward-emails-from-customers-to-the-appropriate-group-at-Amazon
20,https://www.quora.com/Why-do-some-companies-like-Google-Amazon-and-Facebook-have-a-no-feedback-policy-when-rejecting-candidates
21,https://www.quora.com/What-are-some-unusual-or-fun-things-you-can-do-with-Amazons-Alexa
22,https://www.quora.com/Does-a-software-engineer-at-Google-or-Facebook-or-Amazon-have-%E2%80%98what-the-heck%E2%80%99-moments-when-working-on-fellow-members%E2%80%99-code-If-yes-how-frequent
23,https://www.quora.com/Is-Amazon-a-second-tier-tech-company
24,https://www.quora.com/Can-shareholders-vote-Jeff-Bezos-out-of-Amazon
25,https://www.quora.com/What-makes-Amazon-pay-less-taxes
26,https://www.quora.com/How-was-Jeff-Bezos-able-to-keep-75-of-his-stock-in-Amazon-after-finalizing-his-divorce
27,https://www.quora.com/Why-has-Google-fallen-well-behind-rivals-Amazon-and-Microsoft-in-cloud-leadership
28,https://www.quora.com/What-do-you-think-of-the-argument-that-if-Jeff-Bezos-s-annual-income-was-split-among-his-employees-they-would-only-get-an-extra-dollar
29,https://www.quora.com/Do-companies-like-Google-Amazon-Facebook-and-Microsoft-constantly-steal-each-other-s-algorithms
30,https://www.quora.com/Why-did-GitHub-sell-their-company-to-Microsoft-instead-of-Amazon-or-Google
31,https://www.quora.com/What-happens-if-you-make-a-claim-to-Amazon-that-a-package-did-not-arrive
32,https://www.quora.com/Im-switching-from-Amazon-to-Microsoft-in-Bangalore-on-the-same-base-package-I-m-an-SDE-2-at-Amazon-and-Microsoft-is-offering-the-same-base-pay-should-I-join-Microsoft
33,https://www.quora.com/How-has-Amazon-FBA-changed-your-life
34,https://www.quora.com/Why-does-Jeff-Bezos-only-own-16-of-Amazon
35,https://www.quora.com/What-did-Jeff-Bezos-do-to-set-Amazon-apart-from-all-the-other-early-dot-com-companies
36,https://www.quora.com/Does-life-get-easier-after-you-get-hired-by-Google-Facebook-Microsoft-or-Amazon
37,https://www.quora.com/The-animated-adaptation-of-Invincible-Image-Comics-is-gonna-be-on-Amazon-Prime-Do-you-think-the-producers-will-adapt-Issue-110-in-the-future-or-is-it-too-risky-in-this-double-standard-society-we-live-in
38,https://www.quora.com/What-dont-people-tell-you-about-working-at-a-top-tech-company
39,https://www.quora.com/Why-are-Amazon-warehouse-workers-so-unhappy
40,https://www.quora.com/With-the-increasing-concern-of-data-privacy-how-will-the-government-regulation-affect-the-tech-companies-profitability-from-data-collection-like-Google-Facebook-Amazon-Yahoo-Apple-and-so-on
41,https://www.quora.com/Why-do-I-occasionally-find-ridiculously-high-prices-listed-for-mundane-items-offered-on-Amazon-com-such-as-an-ordinary-mouse-pad-for-129-999
42,https://www.quora.com/How-would-Amazon-Books-Amazons-new-physical-bookstore-be-different-from-conventional-bookstores
43,https://www.quora.com/What-are-some-amazing-things-that-Amazon-is-doing-right-now
44,https://www.quora.com/What-is-the-point-of-a-startup-if-big-companies-like-Google-and-Amazon-can-copy-it-and-beat-someone-in-their-own-game
45,https://www.quora.com/Is-it-possible-to-work-9-5-in-FAANG-companies
46,https://www.quora.com/Caught-neighborhood-kids-on-camera-stealing-my-Amazon-package-should-I-post-the-video-online-and-call-the-police
47,https://www.quora.com/Do-big-companies-like-Google-and-Amazon-fire-software-developers-when-there-is-a-buggy-release
48,https://www.quora.com/What-were-the-most-ill-advised-products-to-sell-on-Amazon
49,https://www.quora.com/Does-Jeff-Bezos-Blue-Origin-have-as-much-success-as-SpaceX
50,https://www.quora.com/Is-Google-still-an-exceptional-place-to-work-or-has-it-transformed-into-just-another-big-corporate-environment-like-Microsoft-Amazon-and-IBM
51,https://www.quora.com/What-stops-Walmart-from-beating-Amazon-in-online-shopping-%25F0%259D%2597%259C%25F0%259D%2597%25B3-%25F0%259D%2597%25AC%25F0%259D%2597%25BC%25F0%259D%2598%2582-%25F0%259D%2597%25B5%25F0%259D%2597%25AE%25F0%259D%2598%2583%25F0%259D%2597%25B2
52,https://www.quora.com/Why-do-so-many-people-dislike-working-at-Amazon
53,https://www.quora.com/Why-is-recursion-used-so-commonly-in-software-engineering-interview-questions-at-software-companies-like-Google-Facebook-and-Amazon-but-is-so-rarely-used-in-real-work
54,https://www.quora.com/What-did-Amazon-see-that-other-companies-were-blind-to
55,https://www.quora.com/To-what-extent-are-Amazon-and-Google-competitors
56,https://www.quora.com/Why-did-Jeff-Bezos-leave-Amazon
57,https://www.quora.com/Will-the-Amazon-minimum-wage-increase-affect-its-growth
58,https://www.quora.com/Why-do-people-think-that-Amazons-Rings-of-Power-will-be-bad
