,Question_url,Question,Followers,Last_followed_date,Views,answers,merged
51,https://www.quora.com/Which-company-will-fall-first-Google-Apple-Facebook-Amazon-or-Microsoft,"Which company will fall first: Google, Apple, Facebook, Amazon, or Microsoft?",454,Aug 10,2900000.0,100,4
41,https://www.quora.com/What-dont-people-tell-you-about-working-at-a-top-tech-company,What don't people tell you about working at a top tech company?,386,Sep 7,1900000.0,71,3
15,https://www.quora.com/Whats-it-like-to-receive-a-question-mark-e-mail-from-Jeff-Bezos-at-Amazon-Inc,"What's it like to receive a question mark e-mail from Jeff Bezos, at Amazon, Inc.?",242,"Mar 31, 2020",348700.0,6,0
28,https://www.quora.com/How-does-one-get-a-job-at-tech-giants-such-as-Google-Microsoft-and-Amazon-I-know-C-and-Python-and-currently-learning-Java-but-dont-have-any-project-or-competitive-coding-experience,"How does one get a job at tech giants such as Google, Microsoft, and Amazon? I know C++ and Python, and currently learning Java, but don't have any project or competitive coding experience.",146,"Feb 27, 2021",266700.0,12,0
81,https://www.quora.com/Does-life-get-easier-after-you-get-hired-by-Google-Facebook-Microsoft-or-Amazon,"Does life get easier after you get hired by Google, Facebook, Microsoft or Amazon?",144,Aug 2,1800000.0,52,0
68,https://www.quora.com/What-questions-were-you-asked-in-the-programming-interview-for-Google-Amazon-Facebook-or-Microsoft,"What questions were you asked in the programming interview for Google, Amazon, Facebook, or Microsoft?",122,Jul 25,221500.0,4,0
56,https://www.quora.com/What-programming-languages-are-used-at-Amazon,What programming languages are used at Amazon?,110,Aug 9,277700.0,15,9
31,https://www.quora.com/Why-do-so-many-people-dislike-working-at-Amazon,Why do so many people dislike working at Amazon?,109,"Dec 16, 2021",1500000.0,41,0
16,https://www.quora.com/What-are-some-amazing-things-that-Amazon-is-doing-right-now,What are some amazing things that Amazon is doing right now?,102,"Jul 28, 2021",1000000.0,48,0
3,https://www.quora.com/Is-being-an-Amazon-employee-as-bad-as-some-people-say-it-is,Is being an Amazon employee as bad as some people say it is?,78,Aug 27,2600000.0,21,0
1,https://www.quora.com/Was-it-a-mistake-that-Jeff-Bezos-got-married,Was it a mistake that Jeff Bezos got married?,75,"Apr 13, 2021",2500000.0,31,0
42,https://www.quora.com/Does-a-software-engineer-at-Google-or-Facebook-or-Amazon-have-%E2%80%98what-the-heck%E2%80%99-moments-when-working-on-fellow-members%E2%80%99-code-If-yes-how-frequent,"Does a software engineer at Google or Facebook or Amazon have ‘what the heck’ moments when working on fellow members’ code? If yes, how frequent?",74,Wed,166400.0,16,0
66,https://www.quora.com/Is-it-possible-to-work-9-5-in-FAANG-companies,Is it possible to work 9-5 in FAANG companies?,63,Aug 11,902500.0,20,0
11,https://www.quora.com/What-did-you-do-after-getting-fired-from-Amazon,What did you do after getting fired from Amazon?,61,May 2,781800.0,10,0
71,https://www.quora.com/How-where-do-e-commerce-websites-like-Amazon-get-product-images,How/where do e-commerce websites like Amazon get product images?,61,"Nov 25, 2018",405600.0,17,0
70,https://www.quora.com/How-many-practice-problems-did-you-do-before-successfully-getting-a-job-at-Google-Facebook-Amazon-Microsoft,How many practice problems did you do before successfully getting a job at Google/Facebook/Amazon/Microsoft?,57,"Oct 1, 2020",110000.0,5,0
59,https://www.quora.com/Why-would-someone-choose-not-to-work-at-one-of-the-big-five-tech-companies-Google-Facebook-Microsoft-Amazon-and-Apple,"Why would someone choose not to work at one of the big five tech companies (Google, Facebook, Microsoft, Amazon, and Apple)?",55,May 20,367100.0,32,0
67,https://www.quora.com/If-you-were-a-bright-young-student-graduating-from-a-major-university-with-a-degree-in-computer-science-today-would-you-rather-work-for-Apple-Google-Amazon-or-Microsoft,"If you were a bright, young student graduating from a major university with a degree in computer science today, would you rather work for Apple, Google, Amazon, or Microsoft?",54,"Sep 21, 2020",183600.0,100,0
2,https://www.quora.com/How-do-you-feel-after-changing-from-working-in-Microsoft-to-Google-Amazon-Facebook-or-vice-versa,How do you feel after changing from working in Microsoft to Google/Amazon/Facebook or vice versa?,52,Aug 31,205800.0,3,0
19,https://www.quora.com/What-do-you-do-if-you-receive-the-wrong-Amazon-package,What do you do if you receive the wrong Amazon package?,51,Aug 25,206100.0,10,0
53,https://www.quora.com/Why-does-Jeff-Bezos-only-own-16-of-Amazon,Why does Jeff Bezos only own 16% of Amazon?,49,"Dec 12, 2021",615300.0,9,0
30,https://www.quora.com/How-is-Amazon-leading-the-tech-giants-How-do-they-differ-from-Google-or-Microsoft,How is Amazon leading the tech giants? How do they differ from Google or Microsoft?,47,"Jun 21, 2021",133500.0,3,0
8,https://www.quora.com/Why-did-GitHub-sell-their-company-to-Microsoft-instead-of-Amazon-or-Google,Why did GitHub sell their company to Microsoft instead of Amazon or Google?,46,Aug 30,659300.0,8,0
49,https://www.quora.com/Is-Amazon-a-second-tier-tech-company,Is Amazon a second tier tech company?,40,"Apr 10, 2018",415600.0,16,0
40,https://www.quora.com/What-kind-of-company-could-rival-Amazon-How-would-they-do-it,What kind of company could rival Amazon? How would they do it?,40,Feb 7,319200.0,38,0
